competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt++,imdb,rpt++,cold,1,28b,2.928465,
rpt++,imdb,rpt++,cold,1,26a,2.681463,
rpt++,imdb,rpt++,cold,1,18a,4.521565,
rpt++,imdb,rpt++,cold,1,24b,5.273889,
rpt++,imdb,rpt++,cold,1,4c,0.623696,
rpt++,imdb,rpt++,cold,1,25b,4.843348,
rpt++,imdb,rpt++,cold,1,6a,1.963485,
rpt++,imdb,rpt++,cold,1,5a,0.641931,
rpt++,imdb,rpt++,cold,1,20b,2.590294,
rpt++,imdb,rpt++,cold,1,12a,2.721467,
rpt++,imdb,rpt++,cold,1,31c,5.366771,
rpt++,imdb,rpt++,cold,1,17d,1.755424,
rpt++,imdb,rpt++,cold,1,26c,2.232554,
rpt++,imdb,rpt++,cold,1,31b,5.304163,
rpt++,imdb,rpt++,cold,1,17e,2.440647,
rpt++,imdb,rpt++,hot,1,28a,1.019077,
rpt++,imdb,rpt++,hot,1,9b,1.161256,
rpt++,imdb,rpt++,hot,1,15b,0.715091,
rpt++,imdb,rpt++,hot,1,31a,1.710264,
rpt++,imdb,rpt++,hot,1,6d,0.84967,
rpt++,imdb,rpt++,hot,1,1b,0.230361,
rpt++,imdb,rpt++,hot,1,14a,0.847721,
rpt++,imdb,rpt++,hot,1,17a,0.590199,
rpt++,imdb,rpt++,hot,1,19b,1.505975,
rpt++,imdb,rpt++,hot,1,13a,0.597178,
rpt++,imdb,rpt++,hot,1,32b,0.302314,
rpt++,imdb,rpt++,hot,1,26b,0.839776,
rpt++,imdb,rpt++,hot,1,13d,0.456742,
rpt++,imdb,rpt++,hot,1,6c,0.564938,
rpt++,imdb,rpt++,hot,1,4a,0.273686,
rpt++,imdb,rpt++,hot,1,20a,0.778688,
rpt++,imdb,rpt++,hot,1,25a,1.67029,
rpt++,imdb,rpt++,hot,1,22a,0.767272,
rpt++,imdb,rpt++,hot,1,10b,1.03675,
rpt++,imdb,rpt++,hot,1,8b,1.044226,
rpt++,imdb,rpt++,hot,1,6b,0.563517,
rpt++,imdb,rpt++,hot,1,13c,0.372372,
rpt++,imdb,rpt++,hot,1,18b,1.515179,
rpt++,imdb,rpt++,hot,1,7c,0.995709,
rpt++,imdb,rpt++,hot,1,9a,1.444504,
rpt++,imdb,rpt++,hot,1,17c,0.531514,
rpt++,imdb,rpt++,hot,1,28c,1.023673,
rpt++,imdb,rpt++,hot,1,23b,0.576198,
rpt++,imdb,rpt++,hot,1,24a,1.82111,
rpt++,imdb,rpt++,hot,1,1a,0.298326,
rpt++,imdb,rpt++,hot,1,3a,0.871805,
rpt++,imdb,rpt++,hot,1,15a,0.756578,
rpt++,imdb,rpt++,hot,1,8c,2.988761,
rpt++,imdb,rpt++,hot,1,7a,0.631659,
rpt++,imdb,rpt++,hot,1,23a,0.683273,
rpt++,imdb,rpt++,hot,1,1c,0.240478,
rpt++,imdb,rpt++,hot,1,1d,0.236604,
rpt++,imdb,rpt++,hot,1,19d,3.146423,
rpt++,imdb,rpt++,hot,1,13b,0.42829,
rpt++,imdb,rpt++,hot,1,11a,0.286742,
rpt++,imdb,rpt++,hot,1,23c,0.690959,
rpt++,imdb,rpt++,hot,1,16d,0.838096,
rpt++,imdb,rpt++,hot,1,2a,0.208779,
rpt++,imdb,rpt++,hot,1,32a,0.042452,
rpt++,imdb,rpt++,hot,1,7b,0.556423,
rpt++,imdb,rpt++,hot,1,17f,0.946941,
rpt++,imdb,rpt++,hot,1,29b,1.47413,
rpt++,imdb,rpt++,hot,1,9c,1.302936,
rpt++,imdb,rpt++,hot,1,19a,1.807758,
rpt++,imdb,rpt++,hot,1,6e,0.754715,
rpt++,imdb,rpt++,hot,1,21a,0.846299,
rpt++,imdb,rpt++,hot,1,10c,1.559918,
rpt++,imdb,rpt++,hot,1,27a,0.619939,
rpt++,imdb,rpt++,hot,1,14b,0.832735,
rpt++,imdb,rpt++,hot,1,15c,0.974491,
rpt++,imdb,rpt++,hot,1,16c,0.905124,
rpt++,imdb,rpt++,hot,1,20c,1.000065,
rpt++,imdb,rpt++,hot,1,25c,2.037252,
rpt++,imdb,rpt++,hot,1,2d,0.256269,
rpt++,imdb,rpt++,hot,1,3b,0.477304,
rpt++,imdb,rpt++,hot,1,33b,0.412108,
rpt++,imdb,rpt++,hot,1,17b,0.549554,
rpt++,imdb,rpt++,hot,1,12b,0.536257,
rpt++,imdb,rpt++,hot,1,21c,0.856705,
rpt++,imdb,rpt++,hot,1,11c,0.500284,
rpt++,imdb,rpt++,hot,1,30a,1.607564,
rpt++,imdb,rpt++,hot,1,22c,1.093198,
rpt++,imdb,rpt++,hot,1,27c,0.875935,
rpt++,imdb,rpt++,hot,1,9d,2.590558,
rpt++,imdb,rpt++,hot,1,15d,0.781993,
rpt++,imdb,rpt++,hot,1,2b,0.198283,
rpt++,imdb,rpt++,hot,1,22b,0.757906,
rpt++,imdb,rpt++,hot,1,22d,1.025982,
rpt++,imdb,rpt++,hot,1,33c,0.493876,
rpt++,imdb,rpt++,hot,1,14c,0.886657,
rpt++,imdb,rpt++,hot,1,19c,1.902206,
rpt++,imdb,rpt++,hot,1,8d,1.082568,
rpt++,imdb,rpt++,hot,1,29a,1.718854,
rpt++,imdb,rpt++,hot,1,27b,0.597019,
rpt++,imdb,rpt++,hot,1,4b,0.206132,
rpt++,imdb,rpt++,hot,1,21b,0.569622,
rpt++,imdb,rpt++,hot,1,8a,1.030478,
rpt++,imdb,rpt++,hot,1,18c,1.794623,
rpt++,imdb,rpt++,hot,1,33a,0.452413,
rpt++,imdb,rpt++,hot,1,2c,0.061173,
rpt++,imdb,rpt++,hot,1,30c,2.011983,
rpt++,imdb,rpt++,hot,1,30b,1.638644,
rpt++,imdb,rpt++,hot,1,5b,0.285891,
rpt++,imdb,rpt++,hot,1,6f,1.204003,
rpt++,imdb,rpt++,hot,1,16b,2.934301,
rpt++,imdb,rpt++,hot,1,11d,0.699451,
rpt++,imdb,rpt++,hot,1,16a,0.512398,
rpt++,imdb,rpt++,hot,1,3c,0.982565,
rpt++,imdb,rpt++,hot,1,11b,0.268102,
rpt++,imdb,rpt++,hot,1,10a,1.24298,
rpt++,imdb,rpt++,hot,1,12c,0.615298,
rpt++,imdb,rpt++,hot,1,29c,1.862246,
rpt++,imdb,rpt++,hot,1,5c,1.05589,
rpt++,imdb,rpt++,hot,1,28b,0.729335,
rpt++,imdb,rpt++,hot,1,26a,1.041312,
rpt++,imdb,rpt++,hot,1,18a,1.313217,
rpt++,imdb,rpt++,hot,1,24b,1.729313,
rpt++,imdb,rpt++,hot,1,4c,0.350099,
rpt++,imdb,rpt++,hot,1,25b,1.575658,
rpt++,imdb,rpt++,hot,1,6a,0.676376,
rpt++,imdb,rpt++,hot,1,5a,0.373535,
rpt++,imdb,rpt++,hot,1,20b,0.963044,
rpt++,imdb,rpt++,hot,1,12a,0.5284,
rpt++,imdb,rpt++,hot,1,31c,1.950134,
rpt++,imdb,rpt++,hot,1,17d,0.648067,
rpt++,imdb,rpt++,hot,1,26c,0.88915,
rpt++,imdb,rpt++,hot,1,31b,1.785421,
rpt++,imdb,rpt++,hot,1,17e,1.306647,
