competitor-type,db-file,config,mode,num-threads,query,latency (s),#made-it,extra-optimization-time (ns)
duckdb,imdb,duckdb,cold,1,28b,3.189888,6540729,
duckdb,imdb,duckdb,cold,1,26a,3.596519,46712733,
duckdb,imdb,duckdb,cold,1,18a,4.756476,21128637,
duckdb,imdb,duckdb,cold,1,24b,5.546267,12264640,
duckdb,imdb,duckdb,cold,1,4c,1.099892,7078777,
duckdb,imdb,duckdb,cold,1,25b,4.566197,8919106,
duckdb,imdb,duckdb,cold,1,6a,1.878793,41159809,
duckdb,imdb,duckdb,cold,1,5a,0.511493,1036865,
duckdb,imdb,duckdb,cold,1,20b,2.916417,42281893,
duckdb,imdb,duckdb,cold,1,12a,2.900704,3467011,
duckdb,imdb,duckdb,cold,1,31c,5.632304,31179877,
duckdb,imdb,duckdb,cold,1,17d,3.243816,46141711,
duckdb,imdb,duckdb,cold,1,26c,3.778528,47899829,
duckdb,imdb,duckdb,cold,1,31b,5.042183,8969764,
duckdb,imdb,duckdb,cold,1,17e,2.546718,50048159,
duckdb,imdb,duckdb,hot,1,28a,1.319055,8520249,
duckdb,imdb,duckdb,hot,1,9b,1.13968,5428241,
duckdb,imdb,duckdb,hot,1,15b,0.660296,5798962,
duckdb,imdb,duckdb,hot,1,31a,1.70442,14096117,
duckdb,imdb,duckdb,hot,1,6d,2.334267,42149399,
duckdb,imdb,duckdb,hot,1,1b,0.221736,3433239,
duckdb,imdb,duckdb,hot,1,14a,0.853442,6959749,
duckdb,imdb,duckdb,hot,1,17a,1.223408,46320997,
duckdb,imdb,duckdb,hot,1,19b,1.555363,4985002,
duckdb,imdb,duckdb,hot,1,13a,0.772915,21359120,
duckdb,imdb,duckdb,hot,1,32b,0.143912,2838754,
duckdb,imdb,duckdb,hot,1,26b,0.932994,46204181,
duckdb,imdb,duckdb,hot,1,13d,1.019246,21434188,
duckdb,imdb,duckdb,hot,1,6c,0.545102,40768698,
duckdb,imdb,duckdb,hot,1,4a,0.487696,6054294,
duckdb,imdb,duckdb,hot,1,20a,1.311197,47249619,
duckdb,imdb,duckdb,hot,1,25a,1.658592,11444825,
duckdb,imdb,duckdb,hot,1,22a,1.030956,7457548,
duckdb,imdb,duckdb,hot,1,10b,1.137239,4439336,
duckdb,imdb,duckdb,hot,1,8b,1.029508,901191,
duckdb,imdb,duckdb,hot,1,6b,0.733447,40768705,
duckdb,imdb,duckdb,hot,1,13c,0.353333,18908758,
duckdb,imdb,duckdb,hot,1,18b,1.527971,3116186,
duckdb,imdb,duckdb,hot,1,7c,2.676096,39106693,
duckdb,imdb,duckdb,hot,1,9a,1.658569,6570582,
duckdb,imdb,duckdb,hot,1,17c,2.153344,46139238,
duckdb,imdb,duckdb,hot,1,28c,1.36339,8151912,
duckdb,imdb,duckdb,hot,1,23b,0.555758,8732858,
duckdb,imdb,duckdb,hot,1,24a,2.353381,12740986,
duckdb,imdb,duckdb,hot,1,1a,0.30781,3934646,
duckdb,imdb,duckdb,hot,1,3a,0.825412,5690540,
duckdb,imdb,duckdb,hot,1,15a,0.687112,6548758,
duckdb,imdb,duckdb,hot,1,8c,13.206538,46296824,
duckdb,imdb,duckdb,hot,1,7a,0.592017,37832158,
duckdb,imdb,duckdb,hot,1,23a,0.92135,8866775,
duckdb,imdb,duckdb,hot,1,1c,0.216171,1789378,
duckdb,imdb,duckdb,hot,1,1d,0.220105,4098231,
duckdb,imdb,duckdb,hot,1,19d,4.245719,24651465,
duckdb,imdb,duckdb,hot,1,13b,0.425722,18910682,
duckdb,imdb,duckdb,hot,1,11a,0.157878,285129,
duckdb,imdb,duckdb,hot,1,23c,0.966869,9234129,
duckdb,imdb,duckdb,hot,1,16d,1.391811,48987051,
duckdb,imdb,duckdb,hot,1,2a,0.2719,9668562,
duckdb,imdb,duckdb,hot,1,32a,0.007224,103869,
duckdb,imdb,duckdb,hot,1,7b,0.50249,37117036,
duckdb,imdb,duckdb,hot,1,17f,2.24835,46659141,
duckdb,imdb,duckdb,hot,1,29b,1.574807,12279825,
duckdb,imdb,duckdb,hot,1,9c,1.615347,10050118,
duckdb,imdb,duckdb,hot,1,19a,2.102896,6488539,
duckdb,imdb,duckdb,hot,1,6e,0.692946,42149392,
duckdb,imdb,duckdb,hot,1,21a,0.711088,289242,
duckdb,imdb,duckdb,hot,1,10c,1.714562,9018047,
duckdb,imdb,duckdb,hot,1,27a,0.204468,294565,
duckdb,imdb,duckdb,hot,1,14b,0.794698,5604452,
duckdb,imdb,duckdb,hot,1,15c,1.12817,9463415,
duckdb,imdb,duckdb,hot,1,16c,1.349038,49241161,
duckdb,imdb,duckdb,hot,1,20c,1.272956,46523941,
duckdb,imdb,duckdb,hot,1,25c,2.502448,26248679,
duckdb,imdb,duckdb,hot,1,2d,0.333391,9743630,
duckdb,imdb,duckdb,hot,1,3b,0.475561,4917796,
duckdb,imdb,duckdb,hot,1,33b,0.252501,4018959,
duckdb,imdb,duckdb,hot,1,17b,2.260158,46171949,
duckdb,imdb,duckdb,hot,1,12b,0.499151,18911002,
duckdb,imdb,duckdb,hot,1,21c,0.720035,404589,
duckdb,imdb,duckdb,hot,1,11c,0.370841,356619,
duckdb,imdb,duckdb,hot,1,30a,1.760229,10474266,
duckdb,imdb,duckdb,hot,1,22c,1.715294,8019897,
duckdb,imdb,duckdb,hot,1,27c,0.716317,410165,
duckdb,imdb,duckdb,hot,1,9d,3.220929,10961662,
duckdb,imdb,duckdb,hot,1,15d,1.086848,9472442,
duckdb,imdb,duckdb,hot,1,2b,0.254521,9661127,
duckdb,imdb,duckdb,hot,1,22b,0.811058,7328879,
duckdb,imdb,duckdb,hot,1,22d,2.396612,10325768,
duckdb,imdb,duckdb,hot,1,33c,0.259473,5077949,
duckdb,imdb,duckdb,hot,1,14c,0.992119,7590418,
duckdb,imdb,duckdb,hot,1,19c,2.29272,9356556,
duckdb,imdb,duckdb,hot,1,8d,10.878491,46296824,
duckdb,imdb,duckdb,hot,1,29a,1.844892,12345821,
duckdb,imdb,duckdb,hot,1,27b,0.217024,4707383,
duckdb,imdb,duckdb,hot,1,4b,0.195409,4923802,
duckdb,imdb,duckdb,hot,1,21b,0.201068,318780,
duckdb,imdb,duckdb,hot,1,8a,1.043235,3467256,
duckdb,imdb,duckdb,hot,1,18c,1.941883,21724748,
duckdb,imdb,duckdb,hot,1,33a,0.235311,4427594,
duckdb,imdb,duckdb,hot,1,2c,0.084564,7135092,
duckdb,imdb,duckdb,hot,1,30c,2.082288,26379598,
duckdb,imdb,duckdb,hot,1,30b,1.535225,9096592,
duckdb,imdb,duckdb,hot,1,5b,0.236175,393041,
duckdb,imdb,duckdb,hot,1,6f,2.565344,46211323,
duckdb,imdb,duckdb,hot,1,16b,4.523425,50820737,
duckdb,imdb,duckdb,hot,1,11d,0.874028,566561,
duckdb,imdb,duckdb,hot,1,16a,0.638268,48363197,
duckdb,imdb,duckdb,hot,1,3c,0.935583,6979117,
duckdb,imdb,duckdb,hot,1,11b,0.142369,225299,
duckdb,imdb,duckdb,hot,1,10a,1.257625,6795761,
duckdb,imdb,duckdb,hot,1,12c,0.825619,4256680,
duckdb,imdb,duckdb,hot,1,29c,2.039009,16556685,
duckdb,imdb,duckdb,hot,1,5c,0.953089,2750826,
duckdb,imdb,duckdb,hot,1,28b,0.868074,6540729,
duckdb,imdb,duckdb,hot,1,26a,2.116819,46712733,
duckdb,imdb,duckdb,hot,1,18a,1.611875,21128637,
duckdb,imdb,duckdb,hot,1,24b,1.915618,12264640,
duckdb,imdb,duckdb,hot,1,4c,0.718234,7078777,
duckdb,imdb,duckdb,hot,1,25b,1.400785,8919106,
duckdb,imdb,duckdb,hot,1,6a,0.678233,41159809,
duckdb,imdb,duckdb,hot,1,5a,0.275891,1036865,
duckdb,imdb,duckdb,hot,1,20b,1.300937,42281893,
duckdb,imdb,duckdb,hot,1,12a,0.602098,3467011,
duckdb,imdb,duckdb,hot,1,31c,2.079165,31179877,
duckdb,imdb,duckdb,hot,1,17d,2.114609,46141711,
duckdb,imdb,duckdb,hot,1,26c,2.296796,47899829,
duckdb,imdb,duckdb,hot,1,31b,1.670258,8969764,
duckdb,imdb,duckdb,hot,1,17e,1.70326,50048159,
