competitor-type,db-file,config,mode,num-threads,query,latency (s),#made-it,extra-optimization-time (ns)
rpt,imdb,rpt,cold,1,12c,2.724778,29480,
rpt,imdb,rpt,cold,1,29c,5.015371,12498,
rpt,imdb,rpt,cold,1,5c,3.034285,35959,
rpt,imdb,rpt,cold,1,28b,2.615777,2518,
rpt,imdb,rpt,cold,1,26a,2.58229,114010,
rpt,imdb,rpt,cold,1,18a,4.713624,12880,
rpt,imdb,rpt,cold,1,24b,5.288583,408,
rpt,imdb,rpt,cold,1,4c,0.558254,59648,
rpt,imdb,rpt,cold,1,25b,4.680004,11626,
rpt,imdb,rpt,cold,1,6a,1.895039,96,
rpt,imdb,rpt,cold,1,5a,3.151118,0,
rpt,imdb,rpt,cold,1,20b,2.5258,64,
rpt,imdb,rpt,cold,1,12a,2.602131,14736,
rpt,imdb,rpt,cold,1,31c,5.195734,59768,
rpt,imdb,rpt,cold,1,17d,1.861035,162370,
rpt,imdb,rpt,cold,1,26c,2.095537,119875,
rpt,imdb,rpt,cold,1,31b,4.789107,37718,
rpt,imdb,rpt,cold,1,17e,2.392507,2141825,
rpt,imdb,rpt,hot,1,28a,1.011665,16032,
rpt,imdb,rpt,hot,1,9b,1.266577,62099,
rpt,imdb,rpt,hot,1,15b,0.711902,30282,
rpt,imdb,rpt,hot,1,31a,1.691095,20712,
rpt,imdb,rpt,hot,1,6d,0.761901,9895,
rpt,imdb,rpt,hot,1,1b,0.233063,445,
rpt,imdb,rpt,hot,1,14a,0.816454,13299,
rpt,imdb,rpt,hot,1,17a,0.554327,310159,
rpt,imdb,rpt,hot,1,19b,1.525419,156,
rpt,imdb,rpt,hot,1,13a,0.599895,148502,
rpt,imdb,rpt,hot,1,32b,0.299013,134493,
rpt,imdb,rpt,hot,1,26b,0.89652,81829,
rpt,imdb,rpt,hot,1,13d,0.48137,658183,
rpt,imdb,rpt,hot,1,6c,0.56816,8,
rpt,imdb,rpt,hot,1,4a,0.256105,21080,
rpt,imdb,rpt,hot,1,20a,0.764797,34691,
rpt,imdb,rpt,hot,1,25a,1.642282,41196,
rpt,imdb,rpt,hot,1,22a,0.741577,11899,
rpt,imdb,rpt,hot,1,10b,1.030091,0,
rpt,imdb,rpt,hot,1,8b,1.049845,81,
rpt,imdb,rpt,hot,1,6b,0.565794,86,
rpt,imdb,rpt,hot,1,13c,0.348927,11257,
rpt,imdb,rpt,hot,1,18b,1.504473,9948,
rpt,imdb,rpt,hot,1,7c,1.019291,73724,
rpt,imdb,rpt,hot,1,9a,1.622149,57004,
rpt,imdb,rpt,hot,1,17c,0.502682,154707,
rpt,imdb,rpt,hot,1,28c,0.998776,16222,
rpt,imdb,rpt,hot,1,23b,0.62306,139,
rpt,imdb,rpt,hot,1,24a,1.808846,35858,
rpt,imdb,rpt,hot,1,1a,0.299106,9469,
rpt,imdb,rpt,hot,1,3a,0.820775,7671,
rpt,imdb,rpt,hot,1,15a,0.758951,19768,
rpt,imdb,rpt,hot,1,8c,2.138091,2379795,
rpt,imdb,rpt,hot,1,7a,0.637435,19959,
rpt,imdb,rpt,hot,1,23a,0.677551,4155,
rpt,imdb,rpt,hot,1,1c,0.238732,1467,
rpt,imdb,rpt,hot,1,1d,0.237305,775,
rpt,imdb,rpt,hot,1,19d,2.222553,192967,
rpt,imdb,rpt,hot,1,13b,0.416885,53099,
rpt,imdb,rpt,hot,1,11a,0.276668,1242,
rpt,imdb,rpt,hot,1,23c,0.681758,2663,
rpt,imdb,rpt,hot,1,16d,0.78418,1684636,
rpt,imdb,rpt,hot,1,2a,0.197918,29258,
rpt,imdb,rpt,hot,1,32a,0.189411,17310,
rpt,imdb,rpt,hot,1,7b,0.551862,9465,
rpt,imdb,rpt,hot,1,17f,0.883459,640879,
rpt,imdb,rpt,hot,1,29b,1.491143,153,
rpt,imdb,rpt,hot,1,9c,1.241769,72308,
rpt,imdb,rpt,hot,1,19a,1.779502,32155,
rpt,imdb,rpt,hot,1,6e,0.760153,306,
rpt,imdb,rpt,hot,1,21a,0.843795,6386,
rpt,imdb,rpt,hot,1,10c,1.510503,1046477,
rpt,imdb,rpt,hot,1,27a,0.653229,7515,
rpt,imdb,rpt,hot,1,14b,0.823462,158,
rpt,imdb,rpt,hot,1,15c,0.865709,108824,
rpt,imdb,rpt,hot,1,16c,0.788301,843577,
rpt,imdb,rpt,hot,1,20c,0.992378,55260,
rpt,imdb,rpt,hot,1,25c,2.155193,61995,
rpt,imdb,rpt,hot,1,2d,0.254429,166190,
rpt,imdb,rpt,hot,1,3b,0.498694,377,
rpt,imdb,rpt,hot,1,33b,0.437351,54734,
rpt,imdb,rpt,hot,1,17b,0.516884,176888,
rpt,imdb,rpt,hot,1,12b,0.537975,686,
rpt,imdb,rpt,hot,1,21c,0.85534,41852,
rpt,imdb,rpt,hot,1,11c,0.467838,14590,
rpt,imdb,rpt,hot,1,30a,1.616378,31715,
rpt,imdb,rpt,hot,1,22c,1.032636,29376,
rpt,imdb,rpt,hot,1,27c,0.960671,26823,
rpt,imdb,rpt,hot,1,9d,1.916292,236097,
rpt,imdb,rpt,hot,1,15d,0.635146,92051,
rpt,imdb,rpt,hot,1,2b,0.194639,31751,
rpt,imdb,rpt,hot,1,22b,0.731536,7309,
rpt,imdb,rpt,hot,1,22d,0.985198,60108,
rpt,imdb,rpt,hot,1,33c,0.504397,35083,
rpt,imdb,rpt,hot,1,14c,0.850101,31032,
rpt,imdb,rpt,hot,1,19c,1.74072,36501,
rpt,imdb,rpt,hot,1,8d,0.730099,556781,
rpt,imdb,rpt,hot,1,29a,1.732975,207,
rpt,imdb,rpt,hot,1,27b,0.651086,3839,
rpt,imdb,rpt,hot,1,4b,0.206224,2488,
rpt,imdb,rpt,hot,1,21b,0.567578,2306,
rpt,imdb,rpt,hot,1,8a,1.043348,11437,
rpt,imdb,rpt,hot,1,18c,1.725752,112505,
rpt,imdb,rpt,hot,1,33a,0.441419,46886,
rpt,imdb,rpt,hot,1,2c,0.068589,737,
rpt,imdb,rpt,hot,1,30c,1.92404,38099,
rpt,imdb,rpt,hot,1,30b,1.674077,9582,
rpt,imdb,rpt,hot,1,5b,0.558243,0,
rpt,imdb,rpt,hot,1,6f,1.066154,1827760,
rpt,imdb,rpt,hot,1,16b,2.120366,2487609,
rpt,imdb,rpt,hot,1,11d,0.639443,198522,
rpt,imdb,rpt,hot,1,16a,0.527171,681537,
rpt,imdb,rpt,hot,1,3c,0.887339,61530,
rpt,imdb,rpt,hot,1,11b,0.268867,35,
rpt,imdb,rpt,hot,1,10a,1.250985,20382,
rpt,imdb,rpt,hot,1,12c,0.587718,29480,
rpt,imdb,rpt,hot,1,29c,1.869618,12498,
rpt,imdb,rpt,hot,1,5c,0.974386,35959,
rpt,imdb,rpt,hot,1,28b,0.719542,2518,
